plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
HART_S10.2_P2312_R1,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.2_P2312_R2,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.2_P2312_R3,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.2_P3123_R1,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S10.2_P3123_R2,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S10.2_P3123_R3,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S10.3_P1231_R1,2023,6,2,lentil,canola,NA,gia thunder,enforcer ct,NA,TRUE,TRUE,NA,sale,120,23,NA,40,40,NA,On-time,
HART_S10.3_P1231_R2,2023,6,2,lentil,canola,NA,gia thunder,enforcer ct,NA,TRUE,TRUE,NA,sale,120,23,NA,40,40,NA,On-time,
HART_S10.3_P1231_R3,2023,6,2,lentil,canola,NA,gia thunder,enforcer ct,NA,TRUE,TRUE,NA,sale,120,23,NA,40,40,NA,On-time,
HART_S10.3_P2312_R1,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.3_P2312_R2,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.3_P2312_R3,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S10.3_P3123_R1,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S10.3_P3123_R2,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S10.3_P3123_R3,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S2.1_P0000_R1,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.1_P0000_R2,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.1_P0000_R3,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.2_P0000_R1,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.2_P0000_R2,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.2_P0000_R3,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.3_P0000_R1,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.3_P0000_R2,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S2.3_P0000_R3,2023,4,27,wheat,NA,NA,Rockstar,NA,NA,TRUE,NA,NA,sale,150,NA,NA,50,NA,NA,Early,
HART_S3_P1234_R1,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P1234_R2,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P1234_R3,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P2341_R1,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S3_P2341_R2,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S3_P2341_R3,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S3_P3412_R1,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P3412_R2,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P3412_R3,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S3_P4123_R1,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S3_P4123_R2,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S3_P4123_R3,2023,6,2,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,150,NA,NA,40,NA,NA,On-time,
HART_S4.1_P1234_R1,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S4.1_P1234_R2,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S4.1_P1234_R3,2023,6,2,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,40,NA,NA,On-time,
HART_S4.1_P2341_R1,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
HART_S4.1_P2341_R2,2023,6,2,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,180,NA,NA,40,NA,NA,On-time,
