plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
EDILLILIE_S1.1 _P2121_R1,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1 _P2121_R1,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.1 _P2121_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1 _P2121_R1,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.1_P1212_R1,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.1_P1212_R1,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1_P1212_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1_P1212_R1,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.1_P1212_R2,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.1_P1212_R2,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1_P1212_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1_P1212_R2,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.1_P1212_R3,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.1_P1212_R3,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1_P1212_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1_P1212_R3,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.1_P2121_R2,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1_P2121_R2,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.1_P2121_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1_P2121_R2,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.1_P2121_R3,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.1_P2121_R3,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.1_P2121_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.1_P2121_R3,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.2 _P1212_R1,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P1212_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.2 _P1212_R1,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.2 _P1212_R2,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P1212_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.2 _P1212_R2,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.2 _P1212_R3,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P1212_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.2 _P1212_R3,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.2 _P2121_R1,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P2121_R1,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.2 _P2121_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.2 _P2121_R2,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P2121_R2,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.2 _P2121_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.2 _P2121_R3,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.2 _P2121_R3,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.2 _P2121_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P1212_R1,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R1,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R1,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P1212_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P1212_R1,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.3_P1212_R2,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R2,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R2,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P1212_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P1212_R2,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.3_P1212_R3,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R3,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S1.3_P1212_R3,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P1212_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P1212_R3,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S1.3_P2121_R1,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P2121_R1,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.3_P2121_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P2121_R1,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.3_P2121_R1,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - early flowering 
EDILLILIE_S1.3_P2121_R2,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P2121_R2,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.3_P2121_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P2121_R2,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.3_P2121_R2,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - early flowering 
EDILLILIE_S1.3_P2121_R3,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S1.3_P2121_R3,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S1.3_P2121_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S1.3_P2121_R3,2023,7,11,Urea,kg,100,100kg/ha applied at top dressing - late tillering
EDILLILIE_S1.3_P2121_R3,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - early flowering 
EDILLILIE_S2.1_P1234_R1,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.1_P1234_R2,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.1_P1234_R3,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.1_P2341_R1,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P2341_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P2341_R1,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S2.1_P2341_R2,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P2341_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P2341_R2,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S2.1_P2341_R3,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P2341_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P2341_R3,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S2.1_P3412_R1,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P3412_R1,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P3412_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P3412_R2,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P3412_R2,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P3412_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P3412_R3,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P3412_R3,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P3412_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P4123_R1,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P4123_R1,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P4123_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P4123_R2,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P4123_R2,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P4123_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.1_P4123_R3,2023,5,12,DAP,kg,100,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.1_P4123_R3,2023,6,20,Urea,kg,100,"100kg/ha applied top dressing, all treatments, early tillering"
EDILLILIE_S2.1_P4123_R3,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.2 _P2341_R1,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S2.2 _P2341_R1,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S2.2 _P2341_R1,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.2 _P2341_R1,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.2 _P2341_R1,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S2.2_P1234_R1,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.2_P1234_R2,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.2_P1234_R3,2023,5,12,MAP,kg,100,100kg/ha applied at sowing
EDILLILIE_S2.2_P2341_R2,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S2.2_P2341_R2,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
EDILLILIE_S2.2_P2341_R2,2023,5,12,19:13:0:9,kg,150,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control "
EDILLILIE_S2.2_P2341_R2,2023,6,29,"Smart Trace Triple",L,3,"3L/ha applied as foliar spray, in line with district practice"
EDILLILIE_S2.2_P2341_R2,2023,6,20,Urea,kg,100,"100kg/ha applied at top dressing, all treatments, 4-6 leag"
EDILLILIE_S2.2_P2341_R3,2023,7,31,Urea,kg,200,200kg/ha applied at top dressing - stem elongation
EDILLILIE_S2.2_P2341_R3,2023,7,12,Urea,kg,100,100kg/ha applied at top dressing - stem elongation
