plotID,errorLocation,errorType,errorMsg
KINNABULLA_S9.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S9.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S9.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
