plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
EDILLILIE_S3_P4123_R2,2023,5,12,Glyphosate 540g/l,L,2,"2L/ha applied to volunteer canola, some small ryegrass. Pre-sow knockdown"
EDILLILIE_S3_P4123_R2,2023,5,12,Oxyflurfen,L,0.075,0.075L/ha applied spike to glyphosate to help control broadleaf weeds. Pre-sow knockdown
EDILLILIE_S3_P4123_R2,2023,5,12,Trifluralin ,L,1.5,1.5L/ha applied pre-em control wireweed and ryegrass
EDILLILIE_S3_P4123_R2,2023,5,12,Sakura ,kg,0.118,0.118kg/ha applied pre-em control of ryegrass
EDILLILIE_S3_P4123_R2,2023,5,29,Paradigm ,kg,0.025,0.025kg/ha applied post-em control vol canola GS25
EDILLILIE_S3_P4123_R2,2023,5,29,MCPA LVE ,L,0.35,0.35L/ha applied post-em control vol canola GS25
EDILLILIE_S3_P4123_R3,2023,12,21,Roundup,L,1.5,1.5L/ha applied to control of summer weeds and volunteer crop as per district practice 
EDILLILIE_S3_P4123_R3,2023,12,21,"2,4-D",L,0.5,0.5L/ha applied to control of summer weeds and volunteer crop as per district practice 
EDILLILIE_S3_P4123_R3,2023,5,12,Glyphosate 540g/l,L,2,"2L/ha applied to volunteer canola, some small ryegrass. Pre-sow knockdown"
EDILLILIE_S3_P4123_R3,2023,5,12,Oxyflurfen,L,0.075,0.075L/ha applied spike to glyphosate to help control broadleaf weeds. Pre-sow knockdown
EDILLILIE_S3_P4123_R3,2023,5,12,Trifluralin ,L,1.5,1.5L/ha applied pre-em control wireweed and ryegrass
EDILLILIE_S3_P4123_R3,2023,5,12,Sakura ,kg,0.118,0.118kg/ha applied pre-em control of ryegrass
EDILLILIE_S3_P4123_R3,2023,5,29,Paradigm ,kg,0.025,0.025kg/ha applied post-em control vol canola GS25
EDILLILIE_S3_P4123_R3,2023,5,29,MCPA LVE ,L,0.35,0.35L/ha applied post-em control vol canola GS25
