plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S12_P0000_R6,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R6,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R7,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R7,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R7,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R7,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R8,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R8,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R8,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R8,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R9,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R9,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R9,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R9,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S13_P0000_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R1,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S13_P0000_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R2,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S13_P0000_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R3,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S13_P0000_R4,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R4,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R4,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R4,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S13_P0000_R5,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R5,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S13_P0000_R5,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
